"ID";"global_id";"FullName";"ShortName";"INN";"OKPO";"AdmArea";"District";"Address";"Category";"Specialization";"OKVED";"OKVED_Description";"geoData";
"1";"169195889";"Открытое акционерное общество «ИКМА»";"ОАО «ИКМА»";"7711037272";"11306676";"Северный административный округ";"район Западное Дегунино";"Ижорская улица, дом 3";"Пищевая промышленность";"Пищевая";"46.32";"Торговля оптовая мясом и мясными продуктами";"{type=Point, coordinates=[37.500640518, 55.883021186]}";
"2";"169195890";"Закрытое акционерное общество «ВЕГУС»";"ЗАО «ВЕГУС»";"7719245080";"58538069";"Восточный административный округ";"район Соколиная Гора";"Мироновская улица, дом 33, строение 23";"Пищевая промышленность";"Пищевая";"10.13.1";"Производство соленого, вареного, запеченого, копченого, вяленого и прочего мяса";"{type=Point, coordinates=[37.731938402, 55.791989912]}";
"3";"169195891";"Общество с ограниченной ответственностью «МПЗ«Москворецкий»";"ООО «МПЗ«Москворецкий»";"7724663372";"86499888";"Южный административный округ";"район Москворечье-Сабурово";"Котляковская улица, дом 3, строение 26";"Пищевая промышленность";"Пищевая";"10.13.1";"Производство соленого, вареного, запеченого, копченого, вяленого и прочего мяса";"{type=Point, coordinates=[37.632880109, 55.644013748]}";
"4";"169195892";"Закрытое акционерное общество «ПАРТНЕР Ф»";"ЗАО «ПАРТНЕР Ф»";"7709239514";"18285635";"Южный административный округ";"район Царицыно";"Кавказский бульвар, дом 58, строение 15";"Пищевая промышленность";"Пищевая";"10.13.1";"Производство соленого, вареного, запеченого, копченого, вяленого и прочего мяса";"{type=Point, coordinates=[37.631797385, 55.630194867]}";
"5";"169195893";"Общество с ограниченной ответственностью «ММПЗ «КОЛОМЕНСКОЕ»";"ООО «ММПЗ «КОЛОМЕНСКОЕ»";"7725715993";"1847158";"Южный административный округ";"район Нагатино-Садовники";"проспект Андропова, дом 36, корпус 3, строение 1";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"{type=Point, coordinates=[37.658626187, 55.675476822]}";
"6";"169195894";"Открытое акционерное общество «ОМПК»";"ОАО «ОМПК»";"7715034360";"425283";"Северо-Восточный административный округ";"Бутырский район";"Огородный проезд, дом 18, строение 1";"Пищевая промышленность";"Пищевая";"10.11";"Переработка и консервирование мяса";"{type=Point, coordinates=[37.598641669, 55.817377738]}";
"7";"169195895";"Открытое акционерное общество «ЦАРИЦЫНО»";"ОАО «ЦАРИЦЫНО»";"7724017435";"17471666";"Южный административный округ";"район Царицыно";"Кавказский бульвар, дом 58, строение 1";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"{type=Point, coordinates=[37.633221745, 55.629583394]}";
"8";"169195896";"АКЦИОНЕРНОЕ ОБЩЕСТВО
«ЧЕРКИЗОВСКИЙ МЯСОПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД»";"АО «ЧМПЗ»";"7718013714";"11510767";"Восточный административный округ";"район Метрогородок";"Пермская улица, дом 5, строение 1";"Пищевая промышленность";"Пищевая";"10.11";"Переработка и консервирование мяса";"{type=Point, coordinates=[37.733797728, 55.821370078]}";
"9";"169195897";"Общество с ограниченной ответственностью «ДЫМОВСКОЕ КОЛБАСНОЕ ПРОИЗВОДСТВО»";"ООО «ДЫМОВСКОЕ КОЛБАСНОЕ ПРОИЗВОДСТВО»";"7731178578";"57084488";"Западный административный округ";"район Крылатское";"Крылатская улица, дом 37";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"{type=Point, coordinates=[37.401252087, 55.770509058]}";
"10";"169195898";"Общество с ограниченной ответственностью «МПЗ «СЕТУНЬ»";"ООО «МПЗ «СЕТУНЬ»";"7731629559";"62110466";"Западный административный округ";"Можайский район";"улица Горбунова, дом 4, строение 3";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"{type=Point, coordinates=[37.389665599, 55.723660032]}";
