"ID";"LibraryName";"AdmArea";"District";"Address";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Latitude_WGS84";"Longitude_WGS84";"global_id";"geodata_center";"geoarea";
"11";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №9 имени Николая Васильевича Гоголя";"Центральный административный округ";"Пресненский район";"город Москва, Большая Грузинская улица, дом 39";"11";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.770740";"37.581334";"878954843";"0101000000C4060B2769CA42400ADCBA9BA7E24B40";"";
"19";"Государственное бюджетное учреждение культуры города Москвы «Библиотека истории русской философии и культуры «Дом Алексея Федоровича Лосева»";"Центральный административный округ";"район Хамовники";"город Москва, Глазовский переулок, дом 4, строение 8";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.744353";"37.587694";"880036039";"01010000001807978E39CB4240F9D687F546DF4B40";"";
"44";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Библиотека №144";"Южный административный округ";"район Зябликово";"город Москва, Ореховый бульвар, дом 37, корпус 2А";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.615273";"37.737785";"880036040";"01010000005C3D27BD6FDE4240508E0244C1CE4B40";"";
"45";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СЗАО» Библиотека №230";"Северо-Западный административный округ";"район Южное Тушино";"город Москва, Парусный проезд, дом 15";"10";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.846310";"37.446848";"880036042";"01010000003A24B55032B942408E23D6E253EC4B40";"";
"20";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Библиотека №163";"Южный административный округ";"Даниловский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Даниловская набережная, дом 2, корпус 2";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.708374";"37.644180";"880036043";"01010000005F5E807D74D2424019ABCDFFABDA4B40";"";
"46";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СВАО» Библиотека №55";"Северо-Восточный административный округ";"район Ростокино";"город Москва, проспект Мира, дом 198, корпус 2";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.837429";"37.662264";"880036044";"0101000000B9A81611C5D442406ADC9BDF30EB4B40";"";
"21";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система САО» Библиотека №29";"Северный административный округ";"Тимирязевский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тимирязевский, Дмитровское шоссе, дом 50, корпус 1";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.845572";"37.569351";"880036045";"0101000000F2785A7EE0C84240E7340BB43BEC4B40";"";
"47";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №1 имени Александра Сергеевича Грибоедова";"Центральный административный округ";"Мещанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, проспект Мира, дом 68";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.786760";"37.635268";"880036047";"010100000001193A7650D1424086E63A8DB4E44B40";"";
"22";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Детская Библиотека №158";"Южный административный округ";"район Чертаново Южное";"город Москва, Дорожная улица, дом 20, корпус 1";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.603303";"37.622073";"880036048";"0101000000C05C8B16A0CF4240124A5F0839CD4B40";"";
"48";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮЗАО» Библиотека №180";"Юго-Западный административный округ";"район Коньково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коньково, Профсоюзная улица, дом 92";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.649108";"37.528433";"880036049";"010100000047904AB1A3C3424036C98FF815D34B40";"";
"49";"Государственное бюджетное учреждение культуры города москвы «Центральная городская детская библиотека имени Аркадия Петровича Гайдара»";"Центральный административный округ";"район Хамовники";"город Москва, Ростовская набережная, дом 5";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.742189";"37.574992";"880036051";"010100000017BB7D5699C94240B939950C00DF4B40";"";
"24";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СВАО» Библиотека №60 имени Осипа Эмильевича Мандельштама";"Северо-Восточный административный округ";"Останкинский район";"город Москва, Звёздный бульвар, дом 4";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.817835";"37.635503";"880036052";"010100000044C18C2958D14240184339D1AEE84B40";"";
"50";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮВАО» Библиотека №111";"Юго-Восточный административный округ";"район Выхино-Жулебино";"город Москва, Рязанский проспект, дом 95, корпус 2";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.715297";"37.810072";"880036054";"0101000000E1B37570B0E74240A5F622DA8EDB4B40";"";
"25";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Детская библиотека №203";"Западный административный округ";"район Филёвский Парк";"город Москва, Кастанаевская улица, дом 7";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.738814";"37.496012";"880036055";"010100000037363B527DBF4240D9E9077591DE4B40";"";
"51";"Государственное бюджетное учреждение культуры города Москвы «Центральная городская молодежная библиотека имени Михаила Аркадьевича Светлова»";"Центральный административный округ";"Пресненский район";"город Москва, Садовая-Кудринская улица, дом 23, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.765614";"37.589706";"880036056";"0101000000A320787C7BCB42400CAEB9A3FFE14B40";"";
"26";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Центральная библиотека №136 имени Льва Николаевича Толстого";"Южный административный округ";"район Нагатино-Садовники";"город Москва, Каширское шоссе, дом 16";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.662187";"37.630499";"880036057";"01010000009294F430B4D042400E6B2A8BC2D44B40";"";
"27";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Библиотека №162 имени Константина Михайловича Симонова";"Южный административный округ";"район Нагатинский Затон";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, Коломенская улица, дом 9, строение 5";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.680143";"37.704278";"880036058";"01010000006AA510C825DA42403ACD02ED0ED74B40";"";
"52";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Детская библиотека №141";"Южный административный округ";"район Царицыно";"город Москва, Севанская улица, дом 13, корпус 1";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.623036";"37.654583";"880036059";"010100000040C23060C9D34240861DC6A4BFCF4B40";"";
"28";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Центральная библиотека №136 имени Льва Николаевича Толстого";"Южный административный округ";"район Нагатино-Садовники";"город Москва, Коломенский проезд, дом 21";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.667736";"37.652445";"880036060";"010100000028B8585183D34240512E8D5F78D54B40";"";
"53";"Государственное бюджетное учреждение культуры города Москвы «Библиотека читальня имени Александра Сергеевича Пушкина»";"Центральный административный округ";"Басманный район";"город Москва, Спартаковская улица, дом 9, строение 3";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.772036";"37.671956";"880036061";"0101000000ED2C7AA702D64240D6AA5D13D2E24B40";"";
"54";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ВАО» Библиотека №79 имени Бориса Андреевича Лавренева";"Восточный административный округ";"район Восточное Измайлово";"город Москва, Средняя Первомайская улица, дом 38/7";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.794730";"37.811869";"880036062";"010100000070D1C952EBE7424036936FB6B9E54B40";"";
"29";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система САО» Центральная детская библиотека №46 имени Ивана Захаровича Сурикова";"Северный административный округ";"район Коптево";"город Москва, Коптевская улица, дом 26, корпус 6";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.835341";"37.523097";"880036063";"01010000005FD1ADD7F4C2424004013274ECEA4B40";"";
"30";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮВАО» Библиотека №130";"Юго-Восточный административный округ";"район Люблино";"город Москва, Краснодарская улица, дом 20/1";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.677209";"37.750469";"880036064";"0101000000B7D4415E0FE0424047C7D5C8AED64B40";"";
